X,filing_date,trade_date,ticker,company,insider,title,trade_type,price,qty,Owned,ΔOwn,value,1d,1w,1m,6m,entry_date,entry_price,ret_1w,ret_1m,ret_3m,ret_6m
,2025-03-24 16:05:11,2025-03-20,MSTR,Microstrategy Inc,Le Phong,"Pres, CEO",P - Purchase,85.0,6000.0,20126,+42%,510000.0,,,,,2025-03-25,333.4800109863281,-0.0823438319179558,0.05055770899639844,0.16549718310903172,-0.030496620764928872
,2025-03-24 11:34:47,2025-03-21,FVR,"Frontview Reit, Inc.",Preston Stephen,"COB, Co-CEO, Co-Pres",P - Purchase,13.51,16568.0,23020,+257%,223834.0,,,,,2025-03-25,12.385409157131152,-0.04602847637494245,-0.05361780995734,-0.12495691423332578,0.0449763057681003
M,2025-03-21 19:43:58,2025-03-20,IMMR,Immersion Corp,Singer Eric,"Pres, CEO",P - Purchase,7.51,47638.0,2166866,+2%,357561.0,,,,,2025-03-24,7.381827272953862,-0.015584376363713348,-0.08384428903132823,0.0246305636821742,-0.04004206987899572
M,2025-03-20 18:41:31,2025-03-18,ASAN,"Asana, Inc.",Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",P - Purchase,14.15,675000.0,53395482,+1%,9551250.0,,,,,2025-03-21,13.710000038146973,0.08533917381754308,0.05616334806323087,-0.045222456880669726,0.05324577244384843
,2025-03-18 19:45:45,2025-03-17,BTMD,Biote Corp.,Christensen Bret,CEO,P - Purchase,3.87,37595.0,37595,New,145493.0,,,,,2025-03-19,4.389999866485596,-0.15261955768844548,-0.24829155975394335,-0.09111614330618911,-0.232346244179518
,2025-03-18 18:59:18,2025-03-14,LYEL,"Lyell Immunopharma, Inc.",Seely Lynn,"Pres, CEO",P - Purchase,0.61,175000.0,712500,+33%,106190.0,,,,,2025-03-19,10.800000190734863,0.03333330095550213,-0.19629628223319795,-0.11296298569285457,0.17037038149002948
,2025-03-18 16:13:27,2025-03-14,OMCL,"Omnicell, Inc.",Lipps Randall A,"COB, Pres , CEO",P - Purchase,33.13,10561.0,777016,+1%,349874.0,,,,,2025-03-19,33.77000045776367,0.02013622433989193,-0.10334615705685657,-0.16286644730369138,-0.05833583636360962
M,2025-03-17 18:23:53,2025-03-13,ASAN,"Asana, Inc.",Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",P - Purchase,13.57,675000.0,52720482,+1%,9157500.0,,,,,2025-03-18,14.130000114440918,0.09058738305762826,0.0644019702789731,-0.05661713972084548,-0.02760087333079153
M,2025-03-17 17:59:16,2025-03-14,AFCG,Advanced Flower Capital Inc.,Neville Daniel,CEO,P - Purchase,6.45,46599.0,177261,+36%,300575.0,,,,,2025-03-18,5.81389854173644,-0.04696968608920171,-0.207966137905237,-0.3055926632782535,-0.28624974708862994
,2025-03-17 17:27:48,2025-03-17,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,1.74,200000.0,247197576,0%,347820.0,,,,,2025-03-18,1.7999999523162842,0.0,-0.2111111140545504,-0.2833333355409128,-0.22777776526816063
M,2025-03-17 16:29:34,2025-03-13,PGRE,"Paramount Group, Inc.",Behler Albert P.,"COB, CEO, Pres",P - Purchase,4.04,100000.0,741812,+16%,403850.0,,,,,2025-03-18,,,,,
M,2025-03-17 11:09:33,2025-03-13,FET,"Forum Energy Technologies, Inc.",Lux Neal,"Pres, CEO",P - Purchase,18.01,12607.0,215728,+6%,227070.0,,,,,2025-03-18,19.639999389648438,0.045824926367017405,-0.23370668745197642,0.021894109905238546,0.34674142489435766
